date,tmin,tmax,prcp,snow,snwd,awnd
10/13/18,48,70,0,0,0,3.36
5/27/17,61,88,0,0,0,6.04
10/15/18,59,80,0,0,0,5.59
5/31/17,68,86,0,0,0,4.7
10/17/18,53,71,0,0,0,3.58
6/7/17,59,77,0,0,0,10.29
10/18/18,43,62,0,0,0,4.47
6/19/17,70,92,0.09,0,0,11.86
10/25/18,36,55,0,0,0,1.34
6/24/17,71,91,0.46,0,0,7.83
11/5/18,54,62,0.82,0,0,3.8
6/26/17,60,85,0,0,0,3.36
11/6/18,57,74,0.03,0,0,7.38
6/29/17,60,87,0,0,0,6.71
11/10/18,34,52,0,0,0,6.26
7/1/17,73,90,0,0,0,9.17
11/24/18,36,45,0.72,0,0,5.14
7/3/17,70,93,0.15,0,0,2.91
11/29/18,25,51,0,0,0,3.13
7/7/17,73,91,0,0,0,8.95
12/2/18,58,71,0,0,0,10.96
7/9/17,69,88,0,0,0,3.36
12/10/18,30,34,0.73,1.9,1.2,7.61
7/21/17,74,98,0,0,0,5.59
12/17/18,36,61,0,0,0,5.82
7/24/17,71,93,0,0,0,7.16
12/20/18,45,66,0.68,0,0,8.72
7/31/17,58,87,0,0,0,4.47
12/22/18,34,53,0,0,0,6.71
8/2/17,66,91,0,0,0,3.36
12/30/18,45,59,0.01,0,0,2.91
8/5/17,68,92,0,0,0,6.49
1/7/19,40,51,0,0,0,6.93
8/12/17,73,92,0.48,0,0,5.37
1/25/19,27,47,0,0,0,3.58
8/29/17,64,71,0.22,0,0,8.5
2/4/19,37,68,0,0,0,2.68
9/7/17,53,76,0,0,0,2.91
2/10/19,27,43,0,0,0,3.8
9/10/17,51,71,0,0,0,8.95
2/16/19,34,58,0.45,0,0,8.05
9/12/17,63,79,0.63,0,0,10.74
2/18/19,38,63,0.42,0,0,6.71
9/19/17,64,85,0,0,0,4.25
2/19/19,33,45,0.25,0,0,5.37
9/26/17,69,85,0,0,0,7.61
2/21/19,35,59,0.14,0,0,4.25
9/27/17,68,91,0,0,0,5.59
2/24/19,41,65,0.05,0,0,8.72
10/1/17,48,71,0,0,0,7.16
3/2/19,37,59,0,0,0,4.25
10/7/17,59,86,0.15,0,0,6.26
3/16/19,40,59,0,0,0,4.92
10/16/17,51,69,0.25,0,0,5.82
3/19/19,33,55,0,0,0,6.26
10/22/17,51,79,0,0,0,3.13
3/21/19,44,59,0.58,0,0,6.26
10/27/17,38,73,0,0,0,5.82
3/26/19,39,56,0.06,0,0,10.07
11/1/17,46,73,0,0,0,4.25
4/2/19,31,40,0.35,0,0,5.82
11/7/17,44,63,0.1,0,0,6.49
4/13/19,64,70,0.93,0,0,5.59
11/12/17,28,49,0.03,0,0,1.57
4/14/19,66,79,0.28,0,0,11.86
11/15/17,33,54,0,0,0,3.58
4/17/19,48,80,0,0,0,6.71
11/17/17,34,57,0,0,0,2.91
4/20/19,49,66,0.02,0,0,12.53
11/21/17,30,64,0,0,0,2.91
5/1/19,63,84,0,0,0,8.05
11/27/17,26,61,0,0,0,1.34
5/5/19,63,77,0.36,0,0,6.71
12/9/17,32,34,0.3,0,0,5.82
5/7/19,58,79,0,0,0,4.47
12/11/17,26,55,0,0,0,4.92
5/9/19,63,83,0,0,0,8.05
12/13/17,21,43,0,0,0,8.72
5/12/19,65,76,0,0,0,11.63
12/16/17,24,50,0,0,0,3.58
5/27/19,68,89,0,0,0,3.13
12/19/17,36,70,0,0,0,4.47
6/4/19,57,84,0,0,0,6.93
12/21/17,36,53,0,0,0,4.47
6/9/19,70,80,0.09,0,0,6.93
12/24/17,43,61,0,0,0,7.38
6/10/19,72,87,0.14,0,0,6.49
12/27/17,27,45,0,0,0,4.7
6/22/19,63,84,0.01,0,0,4.03
12/31/17,23,35,0,0,0,10.07
6/25/19,70,90,0,0,0,5.14
1/5/18,12,31,0,0,0,5.59
7/12/19,73,92,0.08,0,0,8.05
1/13/18,29,56,0,0,0,9.62
7/13/19,73,95,0,0,0,4.92
1/15/18,17,39,0,0,0,3.8
7/16/19,71,96,0,0,0,3.36
1/16/18,20,47,0,0,0,1.79
7/18/19,74,96,0.02,0,0,7.61
1/18/18,10,34,0,0.2,5.9,5.59
8/5/19,68,85,0.22,0,0,2.68
1/22/18,38,62,0,0,0,4.7
8/15/19,72,90,0,0,0,3.8
2/4/18,33,56,0.61,0,0,6.49
8/30/19,57,90,0,0,0,3.13
3/1/18,50,57,0.59,0,0,4.47
8/31/19,62,89,0,0,0,2.91
3/6/18,32,42,0.45,0,0,4.47
9/3/19,68,91,0,0,0,3.13
3/15/18,24,65,0,0,0,11.63
9/5/19,70,79,0.93,0,0,11.86
3/16/18,39,68,0,0,0,5.82
9/8/19,66,89,0,0,0,4.03
3/18/18,40,60,0.01,0,0,6.04
9/21/19,55,88,0,0,0,5.14
3/19/18,44,65,0,0,0,5.59
9/24/19,64,89,0,0,0,3.8
3/21/18,32,42,0.05,0,0,6.93
9/25/19,63,87,0,0,0,6.04
3/26/18,32,53,0,0,0,10.29
